COMMENT	SMILES	measured log solubility in mols per litre
	N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1	1.0880883734583062
	Cc1occc1C(=O)Nc1ccccc1	-0.11925394929238488
	c1ccsc1	0.8208505470787065
	c1ccc2scnc2c1	0.7397247783563281
	Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1	-2.037639774374511
	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	-0.9448279486436482
	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	-0.6537296020515841
	Clc1ccc2ccccc2c1	-0.5201106888617842
	C=CCCC	0.1766165013421717
	CCC1(c2ccccc2)C(=O)NCNC1=O	0.1957049175121431
	CCCCCCCCCCCCCC	-2.343054433094053
	CC(C)Cl	0.7826737147387638
	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1	-0.28150548673714193
	CCCCCCCCCC(C)O	0.05254179623735768
	Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1	-2.090132918841932
	O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2	-0.7367642123909591
	CCOP(=S)(OCC)SCSCC	-0.5057943767343059
	CCOc1ccc(NC(C)=O)cc1	0.3340959347444358
	CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]	-1.1548005265133334
	CCCCCCCO	0.5917895530390497
	Cn1c(=O)c2[nH]cnc2n(C)c1=O	0.7922179228237495
	CCCCC1(CC)C(=O)NC(=O)NC1=O	0.6628939032721932
	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	-1.8372114045898114
	CCCCCCCC(=O)OC	-0.05721659673997787
	CCc1ccc(CC)cc1	-0.33399863120456325
	CCOP(=S)(OCC)SCSC(C)(C)C	-0.8135950874750947
	COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1	-0.8374556076875588
	C=C(Cl)Cl	0.6729153217614282
	Cc1cccc2c1Cc1ccccc1-2	-1.0354979254510122
	CCCCC=O	1.0499115411183633
	c1ccc(Nc2ccccc2)cc1	-0.21660487175923912
	CN(C)C(=O)SCCCCOc1ccccc1	-0.4184648727566867
	CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C	-0.5248827929042774
	Clc1cccc(-c2ccccc2)c1	-0.8732463880062553
	C=CCCCO	1.3839588240928629
	O=C1NC(=O)C2(CCC2)C(=O)N1	0.665757165697689
	CC1CCC(C(C)C)C(O)C1	0.24819806197956462
	CCCCCC(C)O	0.7158642581438638
	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]	-0.815981139496341
	Cc1ccc2ccc(C)nc2c1	0.5297522004866427
	C#CCCCCCC	-0.2910496948221276
	c1ccc2c(c1)ccc1c3ccccc3ccc21	-2.389343842306234
	CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O	0.25153853480930943
	Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl	-2.6484690918135954
	Cc1ccccc1O	1.1596699340956989
	CC(C)CCC(C)(C)C	-0.9543721567286337
	Cc1ccc(C)c2ccccc12	-0.5201106888617842
	CCCC(C)=O	1.3648704079228915
	CCCOC(=O)CC	1.064227853245842
	CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F	-0.30059390290711335
	Nc1ccc(O)cc1	1.0737720613308277
	O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1	0.11457914878976468
	O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21	-1.374794522872254
	CCNc1nc(Cl)nc(N(CC)CC)n1	-0.4819338565218414
	NC(=O)c1cnccn1	1.1372410450959827
	CCC(Br)(CC)C(=O)NC(N)=O	0.1766165013421717
	O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1	-0.1574307816323277
	O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1	-1.1500284224708406
	CC12CCC(CC1=O)C2(C)C	0.520207992401657
	CCCCC(=O)OCC	0.3818169751693643
	CC(=O)OCCC(C)C	0.5392964085716284
	CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O	-1.3533200546810362
	CCCBr	0.6299663853789925
	CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1	-0.21135555731249714
	COP(=S)(OC)SCC(=O)N(C)C=O	0.503505628252932
	Cc1ncnc2nccnc12	1.2331603363500887
	NC(N)=S	1.6082477140900269
	Cc1ccc(C)cc1	0.1336675649597361
	CCc1ccccc1CC	-0.10970974120739917
	ClC(Cl)(Cl)C(Cl)(Cl)Cl	-0.2958217988646204
	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1	-1.8257583548878284
	CCC[N+](=O)[O-]	1.0737720613308277
	CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21	-1.1023073820459124
	O=[N+]([O-])c1cccc(Cl)c1Cl	-0.20515182205725627
	C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O	-0.19560761397227056
	CCCOC(C)C	0.8160784430362137
	Cc1cc(C)c2ccccc2c1	-0.5916922494991772
	CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1	-0.48670596056433457
	Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1	-2.004235046077061
	c1ccc(C2CO2)cc1	0.6920037379313996
	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12	-0.1908355099297778
	Clc1c(Cl)c(Cl)c2nccnc2c1Cl	-1.135712110343362
	OC1COC(O)C(O)C1O	1.641652442387477
	ClCCl	1.1548978300532062
	CCc1cccc2ccccc12	-0.5344270009892629
	COC=O	1.732322419194841
	Cc1c[nH]c(=O)[nH]c1=O	0.7368615159308324
	CC(C)C	0.2386538538945789
	OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	0.8685715875036351
	N#Cc1cc(I)c(O)c(I)c1	-0.26718917460966324
	Nc1ccc2cc3ccccc3cc2c1	-1.011637405238548
	Cn1cnc2c1c(=O)[nH]c(=O)n2C	0.25153853480930943
	c1ccc2cnccc2c1	0.7635852985687924
	COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C	-0.6594561269025758
	CCCCCCc1ccccc1	-1.0307258214085193
	Clc1ccccc1-c1ccccc1	-0.7109948505614985
	C=C(C)CCC	0.009592859854922094
	CC(C)C(C)C(C)C	-0.8350695556663125
	Clc1cc(Cl)c(Cl)c(Cl)c1Cl	-1.240698399278205
	O=[N+]([O-])c1cccc(O)c1	0.9735578764384779
	C=CCCCCCCCC	-1.1738889426833048
	CC(=O)OCC(COC(C)=O)OC(C)=O	1.1692141421806845
	CCCCc1c(C)nc(N(C)C)nc1O	0.3865890792118571
	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1	-2.0457523512467493
	c1ccncc1	1.8182202919597121
	CCCCCCCBr	-0.6585017060940769
	CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F	-0.18129130184479209
	CCSCc1ccccc1OC(=O)NC	0.45817063984925
	CCOC(=O)CC(=O)OCC	1.064227853245842
	C=C(C)C1CC=C(C)CC1	-0.5773759373716985
	Clc1cccc(I)c1	-0.23855655035470613
	Cc1cccc(C)n1	1.670285066642434
	ClC=C(Cl)Cl	0.520207992401657
	Nc1cccc2ccccc12	0.5392964085716284
	Cc1cccc(C)c1	0.10980704474727193
	Oc1ncc2nccnc2n1	0.5264117276568977
	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	0.27778510704302023
	CCC(C)=O	1.703689794939884
	O=c1[nH]cc(F)c(=O)[nH]1	0.9415847793537757
	Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O	0.5249800964441499
	Oc1cccc(O)c1	1.8420808121721766
	CCCCCCO	0.8637994834611422
	CCCCCCl	0.1527559811297075
	C=CC=C	0.5631569287840926
	CCCOC(C)=O	1.1119488936707707
	Oc1ccc2c(c1)CCCC2	0.5058916802741784
	NC(=O)CCl	1.44599617664527
	Cc1ccc(Cl)cc1	-0.014267660357542285
	CSc1nnc(C(C)(C)C)c(=O)n1N	0.38038534395661644
	Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1	-1.4124941448079473
	CCCCCC=O	0.835166859206185
	CCCCOC(=O)c1ccc(N)cc1	-0.01522208116604075
	Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C	0.0033891245996812234
	CC(C)=CCCC(C)=CCO	0.2816027902770145
	Clc1ccc(-c2ccccc2Cl)cc1	-1.0641305497059694
	CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O	-1.6573030821878305
	C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]	-1.4668961308923658
	Clc1ccc(Cl)c(Cl)c1Cl	-0.7253111626889771
	CCCC(C)(COC(N)=O)COC(N)=O	0.5932211842517976
	CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	-0.76348799502892
	CI	0.9783299804809706
	CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1	0.9162926279285636
	CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O	-1.5513623724444894
	CC1=CC(=O)CC(C)(C)C1	0.9496973562260135
	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	0.31500751857446435
	CCCCC(=O)CCCC	0.22433754176710025
	CCC1(c2ccccc2)CCC(=O)NC1=O	0.3402996699996764
	CCC(C)CC	-0.30059390290711335
	CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1	-2.6484690918135954
	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	0.059699952301097016
	N#CCCl	1.4116370275393213
	CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl	-1.2893738605116327
	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	-1.2454705033206976
	CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1	-2.037639774374511
	Nc1ccccc1O	1.1119488936707707
	CCCCCCCCC(=O)OCC	-0.3578591514170274
